Median Home Value,Median Household Income,Zip Code
249600,35097,90001
216100,31258,90002
231700,29686,90003
776300,37976,90004
633600,31893,90005
392100,30961,90006
388900,22420,90007
447500,38210,90008
514300,51359,90010
269300,30171,90011
394500,28879,90012
312200,20271,90013
345200,16551,90014
429100,27393,90015
358000,37242,90016
417600,21030,90017
345800,32447,90018
617300,42043,90019
511800,38510,90020
444000,13415,90021
294800,38925,90022
287500,33849,90023
963400,54373,90024
669100,73478,90025
551500,44327,90026
793200,47993,90027
593900,30953,90028
511100,36979,90029
340500,34655,90031
325100,46508,90032
291100,28005,90033
637100,56946,90034
842500,75863,90035
945000,71589,90036
271400,26796,90037
525800,35144,90038
600000,64080,90039
326100,47758,90040
535500,63770,90041
382100,50996,90042
364300,40658,90043
269400,29870,90044
661700,77893,90045
873100,52641,90046
286800,41842,90047
941100,72701,90048
1000001,110854,90049
712400,86858,90056
282600,28035,90057
191100,16750,90058
221500,33962,90059
256400,33476,90061
278700,33192,90062
273400,38441,90063
904200,84579,90064
453400,53635,90065
727800,66744,90066
928600,90972,90067
952100,67500,90068
696700,75451,90069
,,90071
1000001,168036,90077
,,90079
645900,91042,90094
,,90099
,,90101
271300,37267,90201
1000001,132254,90210
1000001,68589,90211
1000001,83679,90212
227500,43592,90220
237100,42853,90221
228400,40707,90222
556700,71235,90230
722200,73103,90232
438400,72777,90240
439600,56479,90241
374700,58217,90242
736500,84341,90245
337000,44693,90247
360000,52013,90248
354200,51871,90249
397500,45995,90250
1000001,101655,90254
289800,37651,90255
385400,51777,90260
,,90261
273300,40831,90262
,,90263
1000001,129750,90265
1000001,139259,90266
268100,37082,90270
1000001,159696,90272
1000001,151469,90274
945900,118860,90275
838600,97158,90277
675600,101575,90278
292100,42776,90280
924800,118750,90290
992700,79736,90291
703200,100441,90292
496400,87308,90293
280800,38160,90301
327400,43042,90302
330500,41622,90303
312000,37783,90304
360000,64735,90305
,,90311
676800,62794,90401
1000001,140139,90402
923800,71424,90403
622000,59695,90404
1000001,75717,90405
505900,55138,90501
340500,63721,90502
628700,76082,90503
516700,72194,90504
682100,81772,90505
,,90506
418600,69375,90601
414200,49873,90602
423500,90477,90603
362800,65570,90604
357100,67482,90605
328200,61800,90606
393600,77526,90620
394900,54126,90621
572100,85100,90623
494900,78745,90630
416400,65804,90631
401600,81722,90638
385200,47438,90640
315500,60770,90650
330000,57605,90660
342800,55525,90670
288600,49294,90680
402700,59946,90701
591800,89113,90703
337100,49637,90706
400400,54065,90710
409500,77495,90712
435100,85742,90713
356600,65481,90715
247100,41910,90716
447600,58320,90717
751900,92780,90720
254100,44934,90723
440700,50210,90731
483600,80172,90732
286000,51211,90740
307700,41920,90744
330900,71854,90745
362600,80092,90746
373400,71077,90755
274300,43404,90802
691700,72653,90803
340600,42672,90804
282000,44070,90805
358400,42998,90806
487300,71645,90807
497300,94335,90808
302700,49269,90810
296200,31334,90813
612400,55415,90814
505400,82805,90815
,,90822
,,90831
,,90833
,,90834
,,90835
550000,85108,91001
718500,80183,91006
756600,73615,91007
945900,85556,91008
353300,59198,91010
1000001,156557,91011
491100,71733,91016
515400,63250,91020
780300,88837,91024
820200,85058,91030
414200,69312,91040
404600,57500,91042
425500,56980,91101
520000,59682,91103
584700,67068,91104
846600,109922,91105
559000,66250,91106
633100,80936,91107
1000001,140703,91108
615300,50107,91201
616100,66067,91202
373300,43078,91203
386100,37634,91204
458300,36906,91205
574700,52570,91206
782700,91005,91207
714000,92532,91208
,90714,91210
587800,90414,91214
680600,109675,91301
979000,129708,91302
330900,47484,91303
442900,58889,91304
357500,61112,91306
495300,97081,91307
438500,78414,91311
487700,59199,91316
576600,104665,91320
340000,56079,91321
454800,58663,91324
485800,59646,91325
611800,99230,91326
283000,51477,91331
332900,51266,91335
286400,54440,91340
322400,59329,91342
380400,54166,91343
449600,77604,91344
318800,60352,91345
380900,98112,91350
311600,71153,91351
338300,48844,91352
454800,107654,91354
420700,88415,91355
704700,70759,91356
556000,93042,91360
760600,101146,91361
631600,104715,91362
646400,91100,91364
552000,76548,91367
635100,128218,91377
585900,116420,91381
,,91382
,,91383
394000,100404,91384
371100,83484,91387
472500,106190,91390
506100,46420,91401
279100,40186,91402
740200,69956,91403
342100,38847,91405
361600,49231,91406
456400,44570,91411
755300,74011,91423
1000001,132520,91436
599100,56740,91501
366400,40714,91502
580400,73151,91504
530600,77378,91505
520200,71914,91506
464200,48638,91601
600000,66652,91602
824000,88579,91604
339100,43301,91605
363400,42521,91606
594100,56635,91607
,,91608
360400,77765,91701
301100,55495,91702
285500,51232,91706
396700,119063,91708
476200,96497,91709
331700,70768,91710
530400,88240,91711
335900,66268,91722
367300,61348,91723
414200,77198,91724
283700,62856,91730
348400,36614,91731
340600,42465,91732
341100,40692,91733
428700,96418,91737
450200,103203,91739
373800,66880,91740
554400,82550,91741
285900,57291,91744
458800,76663,91745
306300,59016,91746
460600,62517,91748
454500,79140,91750
297000,64409,91752
488100,57630,91754
463800,54569,91755
,,91758
269500,60971,91761
251400,51495,91762
251200,50220,91763
225300,50270,91764
525400,88819,91765
255600,49725,91766
253800,49881,91767
260600,47228,91768
414000,47373,91770
423600,78509,91773
621300,81613,91775
482700,47368,91776
572000,66158,91780
482600,100120,91784
330100,51805,91786
599200,91623,91789
363800,66402,91790
438000,70111,91791
359500,66718,91792
468500,53027,91801
491000,55659,91803
,,91804
472500,79792,91901
495600,86981,91902
273700,70264,91905
187100,46875,91906
340300,54056,91910
294900,48111,91911
